Rayon;Libellé produit;Marque;Code Produit;Température;Conditionnement;Unité de commande;Prix;Prix à l'unité de mesure;Prix à la portion;DLC garantie au client
Crèmerie Œufs Fromages;Tomme blanche 27% m.g.;LA VIE DE CHATEAU;241998;Frais;Portion de 30 g. Barquette de 24 portions. ;barquette;  8,61 EUR; 11,96 EUR / kg;  0,36 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Gouda 26% m.g.;LA VIE DE CHATEAU;242001;Frais;Portion de 30 g. Barquette de 24 portions. ;barquette;  9,70 EUR; 13,47 EUR / kg;  0,40 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Fromage blanc nature 3% m.g.;PAYSAN BRETON;242026;Frais;Par pot de 1 kg. Colis de 6 pots. ;pot;  3,10 EUR;  3,10 EUR / kg; 18,61 EUR / colis;7 jour(s)
Poissons Coquillages Crustacés;Saumon;;242287;Frais;Par pièce de 5.5 kg. ;pièce; 67,27 EUR; 12,23 EUR / kg;;
Poissons Coquillages Crustacés;Saumon;;242288;Frais;Par pièce de 6.5 kg. ;pièce; 84,29 EUR; 12,97 EUR / kg;;
Poissons Coquillages Crustacés;Filet de morue salée sans peau;;242299;Frais;Par pièce de 5 kg. ;pièce; 82,45 EUR; 16,49 EUR / kg;;7 jour(s)
Crèmerie Œufs Fromages;Cheddar râpé pour Welsh;WYKEFARMS;242526;Frais;Par pièce de 1 kg. Colis de 6 pièces. ;pièce; 10,51 EUR; 10,51 EUR / kg; 63,08 EUR / colis;7 jour(s)
Crèmerie Œufs Fromages;Oeuf frais vrac moyen. plein air;SERVIS OEUF;242684;Frais;Portion de 53 g. Colis de 180 portions. ;colis; 46,83 EUR;  4,91 EUR / kg;  0,26 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Oeuf plein air moyen;SERVIS OEUF;242686;Frais;Portion de 53 g. Colis de 90 portions. ;colis; 23,71 EUR;  4,97 EUR / kg;  0,26 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Yaourt sur lit de mûre;SAVEUR D'AUTREFOIS;242713;Frais;Pot de 140 g. Colis de 6 pots. ;colis;  8,61 EUR; 10,25 EUR / kg;  1,44 EUR / pot;7 jour(s)
Crèmerie Œufs Fromages;Yaourt sucré à la vanille. pot en verre de 140 g;SAVEUR D'AUTREFOIS;242714;Frais;Pot de 140 g. Colis de 6 pots. ;colis;  7,06 EUR;  8,41 EUR / kg;  1,18 EUR / pot;7 jour(s)
Crèmerie Œufs Fromages;Yaourt sur lit de fraise;SAVEUR D'AUTREFOIS;242717;Frais;Pot de 140 g. Colis de 6 pots. ;colis;  7,06 EUR;  8,41 EUR / kg;  1,18 EUR / pot;7 jour(s)
Crèmerie Œufs Fromages;Yaourt sucré au citron. pot en verre de 140 g;SAVEUR D'AUTREFOIS;242720;Frais;Pot de 140 g. Colis de 6 pots. ;colis;  7,94 EUR;  9,46 EUR / kg;  1,32 EUR / pot;7 jour(s)
Crèmerie Œufs Fromages;Fromage blanc 2.8% m.g.;ALSACE LAIT;242741;Frais;Plaque de 400 g. Colis de 6 plaques. Plaque de 4 portions. ;colis;  6,59 EUR;  2,75 EUR / kg;  1,10 EUR / plaque;7 jour(s)
Crèmerie Œufs Fromages;Fromage blanc nature 3% m.g.;JOCKEY DANONE;242758;Frais;Portion de 100 g. Plaque de 8 portions. ;plaque;  3,58 EUR;  4,48 EUR / kg;  0,45 EUR / Portion;7 jour(s)
Charcuterie Traiteur;Bloc de foie gras de canard. sans morceaux;PIERRE FOSSAT;242827;Frais;Par pièce de 400 g. Colis de 12 pièces. ;pièce; 18,50 EUR; 46,25 EUR / kg;222,00 EUR / colis;7 jour(s)
Viandes Volailles Gibier;Cuise de canard confite x4. sous vide;PIERRE FOSSAT;242835;Frais;Portion de 250 g. Poche de 4 portions. ;poche; 19,00 EUR; 19,00 EUR / kg;  4,75 EUR / Portion;7 jour(s)
Charcuterie Traiteur;Jambon serrano désossé STG. 9 mois de sèche;SANCHEZ ALCARAZ;242841;Frais;Par pièce de 5 kg. Colis de 2 pièces. ;pièce; 63,66 EUR; 12,73 EUR / kg;127,32 EUR / colis;7 jour(s)
Charcuterie Traiteur;Chorizo cular fort;SANCHEZ ALCARAZ;242842;Frais;Par pièce de 1.8 kg. Colis de 4 pièces. ;pièce; 17,85 EUR;  9,91 EUR / kg; 71,38 EUR / colis;7 jour(s)
Charcuterie Traiteur;Jambon serrano 32 tranches. avec intercalaires;SANCHEZ ALCARAZ;242846;Frais;Par barquette de 500 g. Colis de 10 barquettes. ;barquette;  7,83 EUR; 15,66 EUR / kg; 78,30 EUR / colis;7 jour(s)
Charcuterie Traiteur;Saumon fumé atlantique. prétranché/décongelé;MOWI PROFESSIONAL;242848;Frais;Par plaque de 750 g. Colis de 10 plaques. ;plaque; 19,72 EUR; 26,30 EUR / kg;197,21 EUR / colis;7 jour(s)
Charcuterie Traiteur;Véritable andouillette de. troyes 5a;GILBERT LEMELLE;242963;Frais;Portion de 190 g. Sachet de 4 portions. ;sachet; 14,40 EUR; 18,95 EUR / kg;  3,60 EUR / Portion;7 jour(s)
Boissons;Citronnade;ANDROS;243515;Frais;Bouteille de 338 ml. Colis de 6 bouteilles. ;colis;  8,41 EUR;  4,15 EUR / L;  1,40 EUR / bouteille;7 jour(s)
Boissons;Jus orange préssée;ANDROS;243639;Frais;Par bag in box de 10 litre. ;bag in box; 37,77 EUR;  3,78 EUR / L;;7 jour(s)
Charcuterie Traiteur;Jambon cuit standard. découenné dégraissé. 20 tranches;;243696;Frais;Barquette de 800 g. Colis de 8 barquettes. Barquette de 20 portions. ;colis; 43,53 EUR;  6,80 EUR / kg;  5,44 EUR / barquette;7 jour(s)
Charcuterie Traiteur;Jambon sec pays. 5 mois;;244093;Frais;Par pièce de 5.7 kg. Colis de 2 pièces. ;pièce; 65,13 EUR; 11,43 EUR / kg;130,27 EUR / colis;7 jour(s)
Charcuterie Traiteur;Saucisse petit déjeuner. précuite. pièce de 25 g;CHARLES KELLER;244190;Frais;Portion de 25 g. Paquet de 40 portions. ;paquet;  9,23 EUR;  9,23 EUR / kg;  0,23 EUR / Portion;7 jour(s)
Charcuterie Traiteur;Escalope de foie gras de. canard France. pièce de 40/60 g;PIERRE FOSSAT;244342;Surgele;Par poche de 1 kg. Colis de 5 poches. ;poche; 53,82 EUR; 53,82 EUR / kg;269,10 EUR / colis;30 jour(s)
